Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Alabama,1,1999,1999,488,4430141,11,10.9
,Alabama,1,2000,2000,514,4447100,11.6,11.5
,Alabama,1,2001,2001,458,4467634,10.3,10.2
,Alabama,1,2002,2002,469,4480089,10.5,10.4
,Alabama,1,2003,2003,470,4503491,10.4,10.3
,Alabama,1,2004,2004,472,4530729,10.4,10.2
,Alabama,1,2005,2005,479,4569805,10.5,10.3
,Alabama,1,2006,2006,511,4628981,11,10.9
,Alabama,1,2007,2007,518,4672840,11.1,10.9
,Alabama,1,2008,2008,527,4718206,11.2,11
,Alabama,1,2009,2009,598,4757938,12.6,12.2
,Alabama,1,2010,2010,586,4779736,12.3,12.1
,Alabama,1,2011,2011,582,4802740,12.1,11.7
,Alabama,1,2012,2012,649,4822023,13.5,13.2
,Alabama,1,2013,2013,666,4833722,13.8,13.3
,Alabama,1,2014,2014,642,4849377,13.2,13
,Alabama,1,2015,2015,686,4858979,14.1,13.6
,Alabama,1,2016,2016,718,4863300,14.8,14.2
,Alabama,1,2017,2017,769,4874747,15.8,15.2
,Alabama,1,2018,2018,759,4887871,15.5,15.3
,Alabama,1,2019,2019,745,4903185,15.2,15.1
Total,Alabama,1,,,12306,98682634,12.5,12.2
,Alaska,2,1999,1999,78,624779,12.5,13.8
,Alaska,2,2000,2000,128,626932,20.4,19.8
,Alaska,2,2001,2001,86,633714,13.6,13.5
,Alaska,2,2002,2002,116,642337,18.1,18.4
,Alaska,2,2003,2003,109,648414,16.8,17.7
,Alaska,2,2004,2004,130,659286,19.7,19.4
,Alaska,2,2005,2005,119,666946,17.8,18.2
,Alaska,2,2006,2006,121,675302,17.9,17.9
,Alaska,2,2007,2007,139,680300,20.4,20.9
,Alaska,2,2008,2008,153,687455,22.3,22.1
,Alaska,2,2009,2009,117,698895,16.7,16.6
,Alaska,2,2010,2010,156,710231,22,21.7
,Alaska,2,2011,2011,132,722718,18.3,18.5
,Alaska,2,2012,2012,147,731449,20.1,20.1
,Alaska,2,2013,2013,156,735132,21.2,21.3
,Alaska,2,2014,2014,148,736732,20.1,19.5
,Alaska,2,2015,2015,180,738432,24.4,24
,Alaska,2,2016,2016,170,741894,22.9,22.9
,Alaska,2,2017,2017,178,739795,24.1,23.8
,Alaska,2,2018,2018,171,737438,23.2,22.9
,Alaska,2,2019,2019,192,731545,26.2,26.1
Total,Alaska,2,,,2926,14569726,20.1,20
,Arizona,4,1999,1999,611,5023823,12.2,12.3
,Arizona,4,2000,2000,646,5130632,12.6,12.8
,Arizona,4,2001,2001,645,5273477,12.2,12.4
,Arizona,4,2002,2002,733,5396255,13.6,13.7
,Arizona,4,2003,2003,691,5510364,12.5,12.7
,Arizona,4,2004,2004,718,5652404,12.7,12.9
,Arizona,4,2005,2005,784,5839077,13.4,13.6
,Arizona,4,2006,2006,800,6029141,13.3,13.3
,Arizona,4,2007,2007,789,6167681,12.8,12.9
,Arizona,4,2008,2008,773,6280362,12.3,12.3
,Arizona,4,2009,2009,847,6343154,13.4,13.3
,Arizona,4,2010,2010,892,6392017,14,13.8
,Arizona,4,2011,2011,952,6482505,14.7,14.6
,Arizona,4,2012,2012,953,6553255,14.5,14.2
,Arizona,4,2013,2013,968,6626624,14.6,14.6
,Arizona,4,2014,2014,1036,6731484,15.4,15.1
,Arizona,4,2015,2015,1054,6828065,15.4,15
,Arizona,4,2016,2016,1088,6931071,15.7,15.2
,Arizona,4,2017,2017,1149,7016270,16.4,15.8
,Arizona,4,2018,2018,1241,7171646,17.3,16.6
,Arizona,4,2019,2019,1229,7278717,16.9,16.2
Total,Arizona,4,,,18599,130658024,14.2,14.1
,Arkansas,5,1999,1999,289,2651860,10.9,10.8
,Arkansas,5,2000,2000,300,2673400,11.2,11.1
,Arkansas,5,2001,2001,339,2691571,12.6,12.6
,Arkansas,5,2002,2002,327,2705927,12.1,12.1
,Arkansas,5,2003,2003,314,2724816,11.5,11.4
,Arkansas,5,2004,2004,308,2749686,11.2,11.1
,Arkansas,5,2005,2005,330,2781097,11.9,11.8
,Arkansas,5,2006,2006,318,2821761,11.3,11.2
,Arkansas,5,2007,2007,338,2848650,11.9,11.9
,Arkansas,5,2008,2008,369,2874554,12.8,12.7
,Arkansas,5,2009,2009,365,2896843,12.6,12.5
,Arkansas,5,2010,2010,374,2915918,12.8,12.9
,Arkansas,5,2011,2011,394,2937979,13.4,13.6
,Arkansas,5,2012,2012,416,2949131,14.1,13.9
,Arkansas,5,2013,2013,453,2959373,15.3,15.2
,Arkansas,5,2014,2014,455,2966369,15.3,15.2
,Arkansas,5,2015,2015,496,2978204,16.7,16.3
,Arkansas,5,2016,2016,477,2988248,16,15.5
,Arkansas,5,2017,2017,553,3004279,18.4,18.2
,Arkansas,5,2018,2018,489,3013825,16.2,16.2
,Arkansas,5,2019,2019,504,3017804,16.7,16.4
Total,Arkansas,5,,,8208,60151295,13.6,13.5
,California,6,1999,1999,2514,33499204,7.5,7.8
,California,6,2000,2000,2486,33871648,7.3,7.7
,California,6,2001,2001,2494,34479458,7.2,7.5
,California,6,2002,2002,2552,34871843,7.3,7.6
,California,6,2003,2003,2687,35253159,7.6,7.8
,California,6,2004,2004,2668,35574576,7.5,7.7
,California,6,2005,2005,2525,35827943,7,7.2
,California,6,2006,2006,2569,36021202,7.1,7.2
,California,6,2007,2007,2776,36250311,7.7,7.7
,California,6,2008,2008,2932,36604337,8,8
,California,6,2009,2009,2996,36961229,8.1,8
,California,6,2010,2010,3057,37253956,8.2,8.1
,California,6,2011,2011,3151,37691912,8.4,8.2
,California,6,2012,2012,3142,38041430,8.3,8.1
,California,6,2013,2013,3222,38332521,8.4,8.2
,California,6,2014,2014,3437,38802500,8.9,8.6
,California,6,2015,2015,3442,39144818,8.8,8.5
,California,6,2016,2016,3563,39250017,9.1,8.8
,California,6,2017,2017,3630,39536653,9.2,8.9
,California,6,2018,2018,3821,39557045,9.7,9.3
,California,6,2019,2019,3771,39512223,9.5,9.1
Total,California,6,,,63435,776337985,8.2,8.1
,Colorado,8,1999,1999,433,4226018,10.2,10.4
,Colorado,8,2000,2000,496,4301261,11.5,11.6
,Colorado,8,2001,2001,540,4425687,12.2,12.4
,Colorado,8,2002,2002,559,4490406,12.4,12.5
,Colorado,8,2003,2003,556,4528732,12.3,12.4
,Colorado,8,2004,2004,599,4575013,13.1,13
,Colorado,8,2005,2005,619,4631888,13.4,13.4
,Colorado,8,2006,2006,573,4720423,12.1,12
,Colorado,8,2007,2007,607,4803868,12.6,12.5
,Colorado,8,2008,2008,606,4889730,12.4,12.2
,Colorado,8,2009,2009,734,4972195,14.8,14.6
,Colorado,8,2010,2010,690,5029196,13.7,13.5
,Colorado,8,2011,2011,712,5116796,13.9,13.6
,Colorado,8,2012,2012,854,5187582,16.5,16
,Colorado,8,2013,2013,761,5268367,14.4,14.1
,Colorado,8,2014,2014,855,5355866,16,15.7
,Colorado,8,2015,2015,902,5456574,16.5,16.2
,Colorado,8,2016,2016,978,5540545,17.7,17.2
,Colorado,8,2017,2017,983,5607154,17.5,17
,Colorado,8,2018,2018,1102,5695564,19.3,18.8
,Colorado,8,2019,2019,1094,5758736,19,18.4
Total,Colorado,8,,,15253,104581601,14.6,14.4
,Connecticut,9,1999,1999,199,3386401,5.9,5.8
,Connecticut,9,2000,2000,221,3405565,6.5,6.4
,Connecticut,9,2001,2001,211,3432835,6.1,6.1
,Connecticut,9,2002,2002,209,3458749,6,5.8
,Connecticut,9,2003,2003,192,3484336,5.5,5.3
,Connecticut,9,2004,2004,233,3496094,6.7,6.5
,Connecticut,9,2005,2005,246,3506956,7,6.8
,Connecticut,9,2006,2006,222,3517460,6.3,6.1
,Connecticut,9,2007,2007,214,3527270,6.1,5.8
,Connecticut,9,2008,2008,252,3545579,7.1,6.8
,Connecticut,9,2009,2009,238,3561807,6.7,6.5
,Connecticut,9,2010,2010,288,3574097,8.1,7.7
,Connecticut,9,2011,2011,282,3580709,7.9,7.5
,Connecticut,9,2012,2012,298,3590347,8.3,8
,Connecticut,9,2013,2013,252,3596080,7,6.7
,Connecticut,9,2014,2014,289,3596677,8,7.5
,Connecticut,9,2015,2015,299,3590886,8.3,7.8
,Connecticut,9,2016,2016,283,3576452,7.9,7.3
,Connecticut,9,2017,2017,321,3588184,8.9,8.3
,Connecticut,9,2018,2018,330,3572665,9.2,8.4
,Connecticut,9,2019,2019,330,3565287,9.3,8.7
Total,Connecticut,9,,,5409,74154436,7.3,7
,Delaware,10,1999,1999,73,774990,9.4,9.4
,Delaware,10,2000,2000,66,783600,8.4,8.4
,Delaware,10,2001,2001,84,795699,10.6,10.5
,Delaware,10,2002,2002,62,806169,7.7,7.6
,Delaware,10,2003,2003,75,818003,9.2,9.1
,Delaware,10,2004,2004,75,830803,9,8.9
,Delaware,10,2005,2005,73,845150,8.6,8.5
,Delaware,10,2006,2006,81,859268,9.4,9.1
,Delaware,10,2007,2007,76,871749,8.7,8.5
,Delaware,10,2008,2008,88,883874,10,9.6
,Delaware,10,2009,2009,77,891730,8.6,8.6
,Delaware,10,2010,2010,80,897934,8.9,8.6
,Delaware,10,2011,2011,81,907135,8.9,8.5
,Delaware,10,2012,2012,101,917092,11,10.6
,Delaware,10,2013,2013,98,925749,10.6,10.1
,Delaware,10,2014,2014,95,935614,10.2,9.9
,Delaware,10,2015,2015,101,945934,10.7,10.3
,Delaware,10,2016,2016,104,952065,10.9,9.9
,Delaware,10,2017,2017,99,961939,10.3,10.2
,Delaware,10,2018,2018,102,967171,10.5,10.4
,Delaware,10,2019,2019,95,973764,9.8,9.6
Total,Delaware,10,,,1786,18545432,9.6,9.4
,District of Columbia,11,1999,1999,29,570213,5.1,4.9
,District of Columbia,11,2000,2000,20,572059,3.5,3.3
,District of Columbia,11,2001,2001,36,574504,6.3,5.8
,District of Columbia,11,2002,2002,24,573158,4.2,4
,District of Columbia,11,2003,2003,29,568502,5.1,4.8
,District of Columbia,11,2004,2004,27,567754,4.8,4.5
,District of Columbia,11,2005,2005,22,567136,3.9,3.6
,District of Columbia,11,2006,2006,24,570681,4.2,4.2
,District of Columbia,11,2007,2007,23,574404,4,3.7
,District of Columbia,11,2008,2008,33,580236,5.7,5.5
,District of Columbia,11,2009,2009,26,592228,4.4,4
,District of Columbia,11,2010,2010,32,601723,5.3,5.3
,District of Columbia,11,2011,2011,22,617996,3.6,3.3
,District of Columbia,11,2012,2012,31,632323,4.9,4.8
,District of Columbia,11,2013,2013,26,646449,4,4
,District of Columbia,11,2014,2014,43,658893,6.5,6.4
,District of Columbia,11,2015,2015,32,672228,4.8,4.6
,District of Columbia,11,2016,2016,25,681170,3.7,3.2
,District of Columbia,11,2017,2017,38,693972,5.5,5.4
,District of Columbia,11,2018,2018,46,702455,6.5,6.4
,District of Columbia,11,2019,2019,37,705749,5.2,5.2
Total,District of Columbia,11,,,625,12923833,4.8,4.6
,Florida,12,1999,1999,1625,15759421,10.3,9.7
,Florida,12,2000,2000,1684,15982378,10.5,9.9
,Florida,12,2001,2001,1801,16356966,11,10.4
,Florida,12,2002,2002,1830,16689370,11,10.4
,Florida,12,2003,2003,1835,17004085,10.8,10.2
,Florida,12,2004,2004,1855,17415318,10.7,10.1
,Florida,12,2005,2005,1847,17842038,10.4,9.8
,Florida,12,2006,2006,1895,18166990,10.4,9.8
,Florida,12,2007,2007,2032,18367842,11.1,10.4
,Florida,12,2008,2008,2124,18527305,11.5,10.8
,Florida,12,2009,2009,2258,18652644,12.1,11.3
,Florida,12,2010,2010,2200,18801310,11.7,10.8
,Florida,12,2011,2011,2307,19057542,12.1,11.2
,Florida,12,2012,2012,2423,19317568,12.5,11.6
,Florida,12,2013,2013,2412,19552860,12.3,11.4
,Florida,12,2014,2014,2450,19893297,12.3,11.3
,Florida,12,2015,2015,2623,20271272,12.9,11.9
,Florida,12,2016,2016,2603,20612439,12.6,11.6
,Florida,12,2017,2017,2708,20984400,12.9,11.8
,Florida,12,2018,2018,3035,21299325,14.2,13
,Florida,12,2019,2019,2955,21477737,13.8,12.5
Total,Florida,12,,,46502,392032107,11.9,11
,Georgia,13,1999,1999,774,8045965,9.6,9.9
,Georgia,13,2000,2000,730,8186453,8.9,9.2
,Georgia,13,2001,2001,805,8377038,9.6,9.9
,Georgia,13,2002,2002,781,8508256,9.2,9.6
,Georgia,13,2003,2003,843,8622793,9.8,10.1
,Georgia,13,2004,2004,837,8769252,9.5,9.8
,Georgia,13,2005,2005,800,8925922,9,9.2
,Georgia,13,2006,2006,812,9155813,8.9,9.1
,Georgia,13,2007,2007,855,9349988,9.1,9.4
,Georgia,13,2008,2008,830,9504843,8.7,8.8
,Georgia,13,2009,2009,994,9620846,10.3,10.4
,Georgia,13,2010,2010,957,9687653,9.9,9.9
,Georgia,13,2011,2011,1009,9815210,10.3,10.2
,Georgia,13,2012,2012,1019,9919945,10.3,10.2
,Georgia,13,2013,2013,1048,9992167,10.5,10.4
,Georgia,13,2014,2014,1124,10097343,11.1,11
,Georgia,13,2015,2015,1156,10214860,11.3,11.2
,Georgia,13,2016,2016,1249,10310371,12.1,11.8
,Georgia,13,2017,2017,1292,10429379,12.4,12.1
,Georgia,13,2018,2018,1396,10519475,13.3,13
,Georgia,13,2019,2019,1429,10617423,13.5,13.2
Total,Georgia,13,,,20740,198670995,10.4,10.5
,Hawaii,15,1999,1999,112,1210300,9.3,9.1
,Hawaii,15,2000,2000,117,1211537,9.7,9.5
,Hawaii,15,2001,2001,111,1225948,9.1,8.9
,Hawaii,15,2002,2002,103,1239613,8.3,8.1
,Hawaii,15,2003,2003,105,1251154,8.4,8.2
,Hawaii,15,2004,2004,99,1273569,7.8,7.5
,Hawaii,15,2005,2005,90,1292729,7,6.9
,Hawaii,15,2006,2006,99,1309731,7.6,7.5
,Hawaii,15,2007,2007,121,1315675,9.2,8.7
,Hawaii,15,2008,2008,114,1332213,8.6,8.4
,Hawaii,15,2009,2009,145,1346717,10.8,10.4
,Hawaii,15,2010,2010,168,1360301,12.4,12.2
,Hawaii,15,2011,2011,150,1374810,10.9,10.7
,Hawaii,15,2012,2012,160,1392313,11.5,11
,Hawaii,15,2013,2013,145,1404054,10.3,10.1
,Hawaii,15,2014,2014,170,1419561,12,11.5
,Hawaii,15,2015,2015,173,1431603,12.1,11.8
,Hawaii,15,2016,2016,155,1428557,10.9,10.8
,Hawaii,15,2017,2017,187,1427538,13.1,12.7
,Hawaii,15,2018,2018,156,1420491,11,10.5
,Hawaii,15,2019,2019,192,1415872,13.6,13.6
Total,Hawaii,15,,,2872,28084286,10.2,10
,Idaho,16,1999,1999,151,1275674,11.8,12.3
,Idaho,16,2000,2000,141,1293953,10.9,11.3
,Idaho,16,2001,2001,171,1319962,13,13.2
,Idaho,16,2002,2002,168,1340372,12.5,12.9
,Idaho,16,2003,2003,182,1363380,13.3,13.7
,Idaho,16,2004,2004,208,1391802,14.9,15.4
,Idaho,16,2005,2005,194,1428241,13.6,14
,Idaho,16,2006,2006,184,1468669,12.5,13
,Idaho,16,2007,2007,188,1505105,12.5,12.7
,Idaho,16,2008,2008,203,1534320,13.2,13.3
,Idaho,16,2009,2009,243,1554439,15.6,16.1
,Idaho,16,2010,2010,245,1567582,15.6,15.8
,Idaho,16,2011,2011,227,1584985,14.3,14.7
,Idaho,16,2012,2012,255,1595728,16,16.3
,Idaho,16,2013,2013,253,1612136,15.7,15.7
,Idaho,16,2014,2014,264,1634464,16.2,16.4
,Idaho,16,2015,2015,302,1654930,18.2,18.5
,Idaho,16,2016,2016,295,1683140,17.5,17.9
,Idaho,16,2017,2017,340,1716943,19.8,20.1
,Idaho,16,2018,2018,366,1754208,20.9,21.1
,Idaho,16,2019,2019,323,1787065,18.1,18.1
Total,Idaho,16,,,4903,32067098,15.3,15.5
,Illinois,17,1999,1999,823,12359020,6.7,6.7
,Illinois,17,2000,2000,779,12419293,6.3,6.3
,Illinois,17,2001,2001,903,12488445,7.2,7.3
,Illinois,17,2002,2002,911,12525556,7.3,7.3
,Illinois,17,2003,2003,792,12556006,6.3,6.3
,Illinois,17,2004,2004,824,12589773,6.5,6.5
,Illinois,17,2005,2005,849,12609903,6.7,6.7
,Illinois,17,2006,2006,783,12643955,6.2,6.1
,Illinois,17,2007,2007,870,12695866,6.9,6.8
,Illinois,17,2008,2008,936,12747038,7.3,7.2
,Illinois,17,2009,2009,914,12796778,7.1,7.1
,Illinois,17,2010,2010,952,12830632,7.4,7.2
,Illinois,17,2011,2011,994,12869257,7.7,7.6
,Illinois,17,2012,2012,1055,12875255,8.2,8
,Illinois,17,2013,2013,1062,12882135,8.2,8
,Illinois,17,2014,2014,1134,12880580,8.8,8.6
,Illinois,17,2015,2015,1106,12859995,8.6,8.4
,Illinois,17,2016,2016,1166,12801539,9.1,8.9
,Illinois,17,2017,2017,1229,12802023,9.6,9.4
,Illinois,17,2018,2018,1242,12741080,9.7,9.4
,Illinois,17,2019,2019,1208,12671821,9.5,9.1
Total,Illinois,17,,,20532,266645950,7.7,7.6
,Indiana,18,1999,1999,511,6044969,8.5,8.5
,Indiana,18,2000,2000,566,6080485,9.3,9.3
,Indiana,18,2001,2001,571,6127760,9.3,9.3
,Indiana,18,2002,2002,625,6155967,10.2,10.2
,Indiana,18,2003,2003,597,6196638,9.6,9.7
,Indiana,18,2004,2004,572,6233007,9.2,9.2
,Indiana,18,2005,2005,611,6278616,9.7,9.7
,Indiana,18,2006,2006,665,6332669,10.5,10.5
,Indiana,18,2007,2007,633,6379599,9.9,9.9
,Indiana,18,2008,2008,665,6424806,10.4,10.3
,Indiana,18,2009,2009,681,6459325,10.5,10.5
,Indiana,18,2010,2010,682,6483802,10.5,10.4
,Indiana,18,2011,2011,702,6516922,10.8,10.8
,Indiana,18,2012,2012,783,6537334,12,11.9
,Indiana,18,2013,2013,792,6570902,12.1,12
,Indiana,18,2014,2014,798,6596855,12.1,12.1
,Indiana,18,2015,2015,822,6619680,12.4,12.2
,Indiana,18,2016,2016,903,6633053,13.6,13.4
,Indiana,18,2017,2017,984,6666818,14.8,14.7
,Indiana,18,2018,2018,947,6691878,14.2,14.1
,Indiana,18,2019,2019,857,6732219,12.7,12.5
Total,Indiana,18,,,14967,134763304,11.1,11
,Iowa,19,1999,1999,246,2917634,8.4,8.2
,Iowa,19,2000,2000,228,2926324,7.8,7.7
,Iowa,19,2001,2001,237,2931997,8.1,7.9
,Iowa,19,2002,2002,255,2934234,8.7,8.7
,Iowa,19,2003,2003,288,2941999,9.8,9.7
,Iowa,19,2004,2004,267,2953635,9,8.9
,Iowa,19,2005,2005,270,2964454,9.1,9
,Iowa,19,2006,2006,261,2982644,8.8,8.7
,Iowa,19,2007,2007,231,2999212,7.7,7.6
,Iowa,19,2008,2008,288,3016734,9.5,9.5
,Iowa,19,2009,2009,286,3032870,9.4,9.5
,Iowa,19,2010,2010,282,3046355,9.3,9.1
,Iowa,19,2011,2011,339,3062309,11.1,11.3
,Iowa,19,2012,2012,319,3074186,10.4,10.6
,Iowa,19,2013,2013,377,3090416,12.2,12.1
,Iowa,19,2014,2014,339,3107126,10.9,10.8
,Iowa,19,2015,2015,352,3123899,11.3,11.3
,Iowa,19,2016,2016,380,3134693,12.1,12.2
,Iowa,19,2017,2017,395,3145711,12.6,12.3
,Iowa,19,2018,2018,418,3156145,13.2,13.3
,Iowa,19,2019,2019,446,3155070,14.1,14.2
Total,Iowa,19,,,6504,63697647,10.2,10.2
,Kansas,20,1999,1999,243,2678338,9.1,9.1
,Kansas,20,2000,2000,266,2688418,9.9,10
,Kansas,20,2001,2001,238,2702162,8.8,8.9
,Kansas,20,2002,2002,274,2713535,10.1,10
,Kansas,20,2003,2003,272,2723004,10,10
,Kansas,20,2004,2004,301,2734373,11,11.1
,Kansas,20,2005,2005,277,2745299,10.1,10.1
,Kansas,20,2006,2006,307,2762931,11.1,11.2
,Kansas,20,2007,2007,297,2783785,10.7,10.6
,Kansas,20,2008,2008,293,2808076,10.4,10.4
,Kansas,20,2009,2009,307,2832704,10.8,10.9
,Kansas,20,2010,2010,335,2853118,11.7,11.7
,Kansas,20,2011,2011,332,2871238,11.6,11.6
,Kansas,20,2012,2012,428,2885905,14.8,14.9
,Kansas,20,2013,2013,360,2893957,12.4,12.5
,Kansas,20,2014,2014,386,2904021,13.3,13.4
,Kansas,20,2015,2015,398,2911641,13.7,13.7
,Kansas,20,2016,2016,421,2907289,14.5,14.7
,Kansas,20,2017,2017,486,2913123,16.7,16.9
,Kansas,20,2018,2018,481,2911505,16.5,16.6
,Kansas,20,2019,2019,461,2913314,15.8,15.9
Total,Kansas,20,,,7163,59137736,12.1,12.1
,Kentucky,21,1999,1999,418,4018053,10.4,10.3
,Kentucky,21,2000,2000,461,4041769,11.4,11.3
,Kentucky,21,2001,2001,422,4068132,10.4,10.3
,Kentucky,21,2002,2002,462,4089875,11.3,11.1
,Kentucky,21,2003,2003,496,4117170,12,11.9
,Kentucky,21,2004,2004,491,4146101,11.8,11.6
,Kentucky,21,2005,2005,495,4182742,11.8,11.7
,Kentucky,21,2006,2006,535,4219239,12.7,12.6
,Kentucky,21,2007,2007,564,4256672,13.2,13.1
,Kentucky,21,2008,2008,526,4289878,12.3,12
,Kentucky,21,2009,2009,507,4317074,11.7,11.5
,Kentucky,21,2010,2010,550,4339367,12.7,12.4
,Kentucky,21,2011,2011,594,4369356,13.6,13.3
,Kentucky,21,2012,2012,631,4380415,14.4,14.2
,Kentucky,21,2013,2013,615,4395295,14,13.5
,Kentucky,21,2014,2014,654,4413457,14.8,14.4
,Kentucky,21,2015,2015,704,4425092,15.9,15.5
,Kentucky,21,2016,2016,685,4436974,15.4,15.2
,Kentucky,21,2017,2017,685,4454189,15.4,15.1
,Kentucky,21,2018,2018,742,4468402,16.6,16.2
,Kentucky,21,2019,2019,675,4467673,15.1,14.8
Total,Kentucky,21,,,11912,89896925,13.3,13
,Louisiana,22,1999,1999,465,4460811,10.4,10.6
,Louisiana,22,2000,2000,410,4468976,9.2,9.3
,Louisiana,22,2001,2001,429,4477875,9.6,9.8
,Louisiana,22,2002,2002,444,4497267,9.9,10
,Louisiana,22,2003,2003,397,4521042,8.8,8.9
,Louisiana,22,2004,2004,479,4552238,10.5,10.6
,Louisiana,22,2005,2005,450,4576628,9.8,9.8
,Louisiana,22,2006,2006,440,4302665,10.2,10.3
,Louisiana,22,2007,2007,468,4375581,10.7,10.7
,Louisiana,22,2008,2008,485,4435586,10.9,10.9
,Louisiana,22,2009,2009,445,4491648,9.9,9.9
,Louisiana,22,2010,2010,502,4533372,11.1,11.1
,Louisiana,22,2011,2011,505,4574836,11,11.1
,Louisiana,22,2012,2012,511,4601893,11.1,11.2
,Louisiana,22,2013,2013,531,4625470,11.5,11.3
,Louisiana,22,2014,2014,613,4649676,13.2,12.9
,Louisiana,22,2015,2015,649,4670724,13.9,13.7
,Louisiana,22,2016,2016,616,4681666,13.2,12.9
,Louisiana,22,2017,2017,652,4684333,13.9,13.8
,Louisiana,22,2018,2018,657,4659978,14.1,13.8
,Louisiana,22,2019,2019,635,4648794,13.7,13.6
Total,Louisiana,22,,,10783,95491059,11.3,11.3
,Maine,23,1999,1999,134,1266808,10.6,10.3
,Maine,23,2000,2000,137,1274923,10.7,10.5
,Maine,23,2001,2001,127,1285692,9.9,9.5
,Maine,23,2002,2002,123,1295960,9.5,9.3
,Maine,23,2003,2003,111,1306513,8.5,8.1
,Maine,23,2004,2004,140,1313688,10.7,10.2
,Maine,23,2005,2005,145,1318787,11,10.4
,Maine,23,2006,2006,126,1323619,9.5,8.9
,Maine,23,2007,2007,147,1327040,11.1,10.6
,Maine,23,2008,2008,147,1330509,11,10.4
,Maine,23,2009,2009,150,1329590,11.3,10.8
,Maine,23,2010,2010,150,1328361,11.3,10.5
,Maine,23,2011,2011,186,1328188,14,13.2
,Maine,23,2012,2012,168,1329192,12.6,11.7
,Maine,23,2013,2013,203,1328302,15.3,14.6
,Maine,23,2014,2014,189,1330089,14.2,13.5
,Maine,23,2015,2015,194,1329328,14.6,13.6
,Maine,23,2016,2016,178,1331479,13.4,12.6
,Maine,23,2017,2017,216,1335907,16.2,15.1
,Maine,23,2018,2018,229,1338404,17.1,15.7
,Maine,23,2019,2019,230,1344212,17.1,16.3
Total,Maine,23,,,3430,27696591,12.4,11.7
,Maryland,24,1999,1999,358,5254509,6.8,6.8
,Maryland,24,2000,2000,392,5296486,7.4,7.5
,Maryland,24,2001,2001,367,5374691,6.8,6.8
,Maryland,24,2002,2002,388,5440389,7.1,7.2
,Maryland,24,2003,2003,408,5496269,7.4,7.4
,Maryland,24,2004,2004,408,5546935,7.4,7.3
,Maryland,24,2005,2005,392,5592379,7,7
,Maryland,24,2006,2006,421,5627367,7.5,7.4
,Maryland,24,2007,2007,434,5653408,7.7,7.6
,Maryland,24,2008,2008,437,5684965,7.7,7.5
,Maryland,24,2009,2009,473,5730388,8.3,8
,Maryland,24,2010,2010,424,5773552,7.3,7
,Maryland,24,2011,2011,459,5828289,7.9,7.6
,Maryland,24,2012,2012,478,5884563,8.1,7.8
,Maryland,24,2013,2013,475,5928814,8,7.7
,Maryland,24,2014,2014,503,5976407,8.4,8.1
,Maryland,24,2015,2015,451,6006401,7.5,7.2
,Maryland,24,2016,2016,471,6016447,7.8,7.5
,Maryland,24,2017,2017,525,6052177,8.7,8.2
,Maryland,24,2018,2018,540,6042718,8.9,8.5
,Maryland,24,2019,2019,553,6045680,9.1,8.7
Total,Maryland,24,,,9357,120252834,7.8,7.6
,Massachusetts,25,1999,1999,320,6317345,5.1,4.9
,Massachusetts,25,2000,2000,291,6349097,4.6,4.5
,Massachusetts,25,2001,2001,319,6397634,5,4.9
,Massachusetts,25,2002,2002,335,6417206,5.2,5.1
,Massachusetts,25,2003,2003,336,6422565,5.2,5.1
,Massachusetts,25,2004,2004,334,6412281,5.2,5.1
,Massachusetts,25,2005,2005,367,6403290,5.7,5.5
,Massachusetts,25,2006,2006,327,6410084,5.1,4.9
,Massachusetts,25,2007,2007,388,6431559,6,5.8
,Massachusetts,25,2008,2008,396,6468967,6.1,5.9
,Massachusetts,25,2009,2009,402,6517613,6.2,5.9
,Massachusetts,25,2010,2010,481,6547629,7.3,7.1
,Massachusetts,25,2011,2011,449,6587536,6.8,6.5
,Massachusetts,25,2012,2012,476,6646144,7.2,6.9
,Massachusetts,25,2013,2013,444,6692824,6.6,6.5
,Massachusetts,25,2014,2014,481,6745408,7.1,6.7
,Massachusetts,25,2015,2015,507,6794422,7.5,7.1
,Massachusetts,25,2016,2016,495,6811779,7.3,6.9
,Massachusetts,25,2017,2017,563,6859819,8.2,7.9
,Massachusetts,25,2018,2018,604,6902149,8.8,8.1
,Massachusetts,25,2019,2019,524,6892503,7.6,7.1
Total,Massachusetts,25,,,8839,138027854,6.4,6.2
,Michigan,26,1999,1999,785,9897116,7.9,8
,Michigan,26,2000,2000,778,9938444,7.8,7.9
,Michigan,26,2001,2001,837,9991120,8.4,8.4
,Michigan,26,2002,2002,891,10015710,8.9,8.9
,Michigan,26,2003,2003,835,10041152,8.3,8.3
,Michigan,26,2004,2004,856,10055315,8.5,8.5
,Michigan,26,2005,2005,865,10051137,8.6,8.6
,Michigan,26,2006,2006,897,10036081,8.9,8.8
,Michigan,26,2007,2007,906,10001284,9.1,8.9
,Michigan,26,2008,2008,946,9946889,9.5,9.4
,Michigan,26,2009,2009,923,9901591,9.3,9.1
,Michigan,26,2010,2010,1003,9883640,10.1,10
,Michigan,26,2011,2011,1015,9876187,10.3,10.2
,Michigan,26,2012,2012,1044,9883360,10.6,10.3
,Michigan,26,2013,2013,1094,9895622,11.1,10.9
,Michigan,26,2014,2014,1118,9909877,11.3,11
,Michigan,26,2015,2015,1166,9922576,11.8,11.4
